clock_time,time_stamp,val,metric,region,location_name,host,url,script,transaction,error_message,emulation,source,unit,total_duration
2023-03-18T10:07:20Z,5000,0.7303444147109985,average trt,on-premise,on-premise,,,100_eShowBizz_CWS_Book_Buy251 (2),Eshowbizz_03_BookSeats_251,,no_emulation,,sec,4.382066488265991
2023-03-18T10:07:20Z,5000,1.3071067333221436,average trt,on-premise,on-premise,,,100_eShowBizz_CWS_Book_Buy251 (2),Eshowbizz_04_Buy_251,,no_emulation,,sec,1.3071067333221436
2023-03-18T10:07:20Z,5000,1.2844497203826903,average trt,on-premise,on-premise,,,100_eShowBizz_CWS_Book_Buy251 (2),ShowSeats_AllClasses_Open_251,,no_emulation,,sec,19.266745805740356
2023-03-18T10:07:20Z,5000,0.9404768670306486,average trt,on-premise,on-premise,,,93_eShowBizz_ShowSeats_AllClassOpen183,ShowSeats_AllClasses_Open_183,,no_emulation,,sec,319.76213479042053
2023-03-18T10:07:20Z,5000,1.0234494528702,average trt,on-premise,on-premise,,,94_eShowBizz_ShowSeats_AllClassOpen251,ShowSeats_AllClasses_Open_251,,no_emulation,,sec,427.80187129974365
2023-03-18T10:07:20Z,5000,0.9370920917775372,average trt,on-premise,on-premise,,,95_eShowBizz_ShowSeats_AllClassOpen232,ShowSeats_AllClasses_Open_232,,no_emulation,,sec,378.585205078125
2023-03-18T10:07:20Z,5000,0.9755067636470983,average trt,on-premise,on-premise,,,96_eShowBizz_ShowSeats_AllClassOpen202,ShowSeats_AllClasses_Open_202,,no_emulation,,sec,394.10473251342773
2023-03-18T10:07:20Z,5000,0.8639113306999207,average trt,on-premise,on-premise,,,97_eShowBizz_CWS_Book_Buy183 (2),Eshowbizz_03_BookSeats_183,,no_emulation,,sec,3.4556453227996826
2023-03-18T10:07:20Z,5000,0.7921710435081931,average trt,on-premise,on-premise,,,97_eShowBizz_CWS_Book_Buy183 (2),ShowSeats_AllClasses_Open_183,,no_emulation,,sec,13.466907739639282
2023-03-18T10:07:20Z,5000,0.923157811164856,average trt,on-premise,on-premise,,,98_eShowBizz_CWS_Book_Buy202 (2),Eshowbizz_03_BookSeats_202,,no_emulation,,sec,7.385262489318848
2023-03-18T10:07:20Z,5000,0.9600574829999138,average trt,on-premise,on-premise,,,98_eShowBizz_CWS_Book_Buy202 (2),ShowSeats_AllClasses_Open_202,,no_emulation,,sec,16.320977210998535
2023-03-18T10:07:20Z,5000,0.8480522367689345,average trt,on-premise,on-premise,,,99_eShowBizz_CWS_Book_Buy232 (2),Eshowbizz_03_BookSeats_232,,no_emulation,,sec,7.63247013092041
2023-03-18T10:07:20Z,5000,1.0356207847595216,average trt,on-premise,on-premise,,,99_eShowBizz_CWS_Book_Buy232 (2),ShowSeats_AllClasses_Open_232,,no_emulation,,sec,20.71241569519043
2023-03-18T10:07:20Z,5000,1,connections,on-premise,on-premise,,,100_eShowBizz_CWS_Book_Buy251 (2),,,no_emulation,,count,
2023-03-18T10:07:20Z,5000,160,connections,on-premise,on-premise,,,93_eShowBizz_ShowSeats_AllClassOpen183,,,no_emulation,,count,
2023-03-18T10:07:20Z,5000,217,connections,on-premise,on-premise,,,94_eShowBizz_ShowSeats_AllClassOpen251,,,no_emulation,,count,
2023-03-18T10:07:20Z,5000,162,connections,on-premise,on-premise,,,95_eShowBizz_ShowSeats_AllClassOpen232,,,no_emulation,,count,
