clock_time,time_stamp,val,metric,region,location_name,host,url,script,transaction,error_message,emulation,source,unit,total_duration
2023-03-18T10:52:09Z,5000,0.7456884602748001,average trt,on-premise,on-premise,,,101_eShowBizz_ShowSeats_AllClassOpen,ShowSeats_AllClasses_Open,,no_emulation,,sec,699.4557757377625
2023-03-18T10:52:09Z,5000,0.7414878010749817,average trt,on-premise,on-premise,,,102_eShowBizz_CWS_Book_Buy,Eshowbizz_03_BookSeats,,no_emulation,,sec,2.9659512042999268
2023-03-18T10:52:09Z,5000,1.4203877449035645,average trt,on-premise,on-premise,,,102_eShowBizz_CWS_Book_Buy,Eshowbizz_04_Buy,,no_emulation,,sec,2.840775489807129
2023-03-18T10:52:09Z,5000,0.5816562175750732,average trt,on-premise,on-premise,,,102_eShowBizz_CWS_Book_Buy,ShowSeats_AllClasses_Open,,no_emulation,,sec,3.4899373054504395
2023-03-18T10:52:09Z,5000,343,connections,on-premise,on-premise,,,101_eShowBizz_ShowSeats_AllClassOpen,,,no_emulation,,count,
2023-03-18T10:52:09Z,5000,1,connections,on-premise,on-premise,,,102_eShowBizz_CWS_Book_Buy,,,no_emulation,,count,
2023-03-18T10:52:09Z,5000,938,hits,on-premise,on-premise,,,101_eShowBizz_ShowSeats_AllClassOpen,,,no_emulation,,count,
2023-03-18T10:52:09Z,5000,6,hits,on-premise,on-premise,,,102_eShowBizz_CWS_Book_Buy,,,no_emulation,,count,
2023-03-18T10:52:09Z,5000,2.9017930030822754,max trt,on-premise,on-premise,,,101_eShowBizz_ShowSeats_AllClassOpen,ShowSeats_AllClasses_Open,,no_emulation,,sec,
2023-03-18T10:52:09Z,5000,2.4243366718292236,max trt,on-premise,on-premise,,,102_eShowBizz_CWS_Book_Buy,Eshowbizz_03_BookSeats,,no_emulation,,sec,
2023-03-18T10:52:09Z,5000,1.7676575183868408,max trt,on-premise,on-premise,,,102_eShowBizz_CWS_Book_Buy,Eshowbizz_04_Buy,,no_emulation,,sec,
2023-03-18T10:52:09Z,5000,1.492502212524414,max trt,on-premise,on-premise,,,102_eShowBizz_CWS_Book_Buy,ShowSeats_AllClasses_Open,,no_emulation,,sec,
2023-03-18T10:52:09Z,5000,0.020117998123168945,min trt,on-premise,on-premise,,,101_eShowBizz_ShowSeats_AllClassOpen,ShowSeats_AllClasses_Open,,no_emulation,,sec,
