clock_time,time_stamp,val,metric,region,location_name,host,url,script,transaction,error_message,emulation,source,unit,total_duration
2023-03-18T05:25:18Z,5000,0.316637339,average trt,on-premise,on-premise,,,84_eShowBizz_02_CWS_Book_Buy (1),Eshowbizz_03_BookSeats,,no_emulation,,sec,8.549208164
2023-03-18T05:25:18Z,5000,1.344171914,average trt,on-premise,on-premise,,,84_eShowBizz_02_CWS_Book_Buy (1),Eshowbizz_04_Buy,,no_emulation,,sec,14.78589106
2023-03-18T05:25:18Z,5000,0.718670951,average trt,on-premise,on-premise,,,84_eShowBizz_02_CWS_Book_Buy (1),ShowSeats_AllClasses_Open,,no_emulation,,sec,19.40411568
2023-03-18T05:25:18Z,5000,2,connections,on-premise,on-premise,,,84_eShowBizz_02_CWS_Book_Buy (1),,,no_emulation,,count,
2023-03-18T05:25:18Z,5000,33,hits,on-premise,on-premise,,,84_eShowBizz_02_CWS_Book_Buy (1),,,no_emulation,,count,
2023-03-18T05:25:18Z,5000,0.72449255,max trt,on-premise,on-premise,,,84_eShowBizz_02_CWS_Book_Buy (1),Eshowbizz_03_BookSeats,,no_emulation,,sec,
2023-03-18T05:25:18Z,5000,2.775781155,max trt,on-premise,on-premise,,,84_eShowBizz_02_CWS_Book_Buy (1),Eshowbizz_04_Buy,,no_emulation,,sec,
2023-03-18T05:25:18Z,5000,1.392926931,max trt,on-premise,on-premise,,,84_eShowBizz_02_CWS_Book_Buy (1),ShowSeats_AllClasses_Open,,no_emulation,,sec,
2023-03-18T05:25:18Z,5000,0.054434776,min trt,on-premise,on-premise,,,84_eShowBizz_02_CWS_Book_Buy (1),Eshowbizz_03_BookSeats,,no_emulation,,sec,
2023-03-18T05:25:18Z,5000,0.631188869,min trt,on-premise,on-premise,,,84_eShowBizz_02_CWS_Book_Buy (1),Eshowbizz_04_Buy,,no_emulation,,sec,
2023-03-18T05:25:18Z,5000,0.031213522,min trt,on-premise,on-premise,,,84_eShowBizz_02_CWS_Book_Buy (1),ShowSeats_AllClasses_Open,,no_emulation,,sec,
2023-03-18T05:25:18Z,5000,27,passed transactions,on-premise,on-premise,,,84_eShowBizz_02_CWS_Book_Buy (1),Eshowbizz_03_BookSeats,,no_emulation,,count,
2023-03-18T05:25:18Z,5000,11,passed transactions,on-premise,on-premise,,,84_eShowBizz_02_CWS_Book_Buy (1),Eshowbizz_04_Buy,,no_emulation,,count,
2023-03-18T05:25:18Z,5000,27,passed transactions,on-premise,on-premise,,,84_eShowBizz_02_CWS_Book_Buy (1),ShowSeats_AllClasses_Open,,no_emulation,,count,
2023-03-18T05:25:18Z,5000,0.697765589,percentile 90,on-premise,on-premise,,,84_eShowBizz_02_CWS_Book_Buy (1),Eshowbizz_03_BookSeats,,no_emulation,,sec,
2023-03-18T05:25:18Z,5000,2.236935139,percentile 90,on-premise,on-premise,,,84_eShowBizz_02_CWS_Book_Buy (1),Eshowbizz_04_Buy,,no_emulation,,sec,
2023-03-18T05:25:18Z,5000,1.383965015,percentile 90,on-premise,on-premise,,,84_eShowBizz_02_CWS_Book_Buy (1),ShowSeats_AllClasses_Open,,no_emulation,,sec,
2023-03-18T05:25:18Z,5000,44314,throughput,on-premise,on-premise,,,84_eShowBizz_02_CWS_Book_Buy (1),,,no_emulation,,bytes,
2023-03-18T05:25:18Z,5000,36,vusers count,on-premise,on-premise,,,84_eShowBizz_02_CWS_Book_Buy (1),,,no_emulation,,count,
2023-03-18T05:25:23Z,10000,0.357490904,average trt,on-premise,on-premise,,,84_eShowBizz_02_CWS_Book_Buy (1),Eshowbizz_03_BookSeats,,no_emulation,,sec,12.15469074
2023-03-18T05:25:23Z,10000,2.097851497,average trt,on-premise,on-premise,,,84_eShowBizz_02_CWS_Book_Buy (1),Eshowbizz_04_Buy,,no_emulation,,sec,56.64199042
2023-03-18T05:25:23Z,10000,1.938419416,average trt,on-premise,on-premise,,,84_eShowBizz_02_CWS_Book_Buy (1),ShowSeats_AllClasses_Open,,no_emulation,,sec,87.22887373
2023-03-18T05:25:23Z,10000,8,connections,on-premise,on-premise,,,84_eShowBizz_02_CWS_Book_Buy (1),,,no_emulation,,count,
2023-03-18T05:25:23Z,10000,81,hits,on-premise,on-premise,,,84_eShowBizz_02_CWS_Book_Buy (1),,,no_emulation,,count,
2023-03-18T05:25:23Z,10000,1.335982084,max trt,on-premise,on-premise,,,84_eShowBizz_02_CWS_Book_Buy (1),Eshowbizz_03_BookSeats,,no_emulation,,sec,
2023-03-18T05:25:23Z,10000,4.12149024,max trt,on-premise,on-premise,,,84_eShowBizz_02_CWS_Book_Buy (1),Eshowbizz_04_Buy,,no_emulation,,sec,
2023-03-18T05:25:23Z,10000,3.513464928,max trt,on-premise,on-premise,,,84_eShowBizz_02_CWS_Book_Buy (1),ShowSeats_AllClasses_Open,,no_emulation,,sec,
2023-03-18T05:25:23Z,10000,0.094107866,min trt,on-premise,on-premise,,,84_eShowBizz_02_CWS_Book_Buy (1),Eshowbizz_03_BookSeats,,no_emulation,,sec,
2023-03-18T05:25:23Z,10000,0.814546108,min trt,on-premise,on-premise,,,84_eShowBizz_02_CWS_Book_Buy (1),Eshowbizz_04_Buy,,no_emulation,,sec,
